year,beneficial_fraction,crop_water_deficit,relative_water_deficit,total_seasonal_biomass_production,seasonal_yield,crop_water_productivity,section_name,block
2019,0.71173596,0.6483611,0.351639,18.008167,6.832511,1.1145957,Thiba,H19
2019,0.75300056,0.6788794,0.32112053,19.337729,7.336961,1.1398559,Thiba,H18
2019,0.737143,0.6716691,0.32833087,18.645172,7.0741973,1.1119754,Thiba,H20
2019,0.713999,0.62800354,0.3719965,18.279627,6.9355063,1.1686879,Mwea,M14
2019,0.72556794,0.65215784,0.34784213,18.273796,6.9332924,1.1228958,Mwea,M16
2019,0.73066956,0.6516609,0.34833905,19.312334,7.3273263,1.1900263,Mwea,M17A
2019,0.7369508,0.64945006,0.35054988,19.626259,7.4464335,1.2133456,Mwea,M13
2019,0.7252949,0.63894665,0.36105332,19.48661,7.39345,1.2244095,Mwea,M11
2019,0.74658126,0.6621549,0.33784506,20.894938,7.9277854,1.2645586,Mwea,M9
2019,0.7678697,0.67606133,0.32393873,21.865791,8.296138,1.298989,Mwea,M5
2019,0.71501166,0.6339845,0.3660155,19.124725,7.256146,1.211144,Mwea,M3
2019,0.7036763,0.61911684,0.3808832,18.271893,6.9325714,1.1845409,Mwea,M4
2019,0.69902897,0.6322313,0.36776868,18.257948,6.927281,1.1588974,Mwea,M2
2019,0.71902776,0.6464811,0.35351887,19.822592,7.520924,1.2244979,Mwea,M1
2019,0.7239904,0.6036998,0.3963001,15.152815,5.749156,0.9618941,Tebere,T8
2019,0.7357604,0.6096373,0.39036268,15.464921,5.8675733,0.97341675,Tebere,T23
2019,0.71107095,0.60397863,0.39602134,12.246905,4.6466193,0.77568513,Tebere,T11
2019,0.73388517,0.6180925,0.3819075,15.328,5.815623,0.9488546,Tebere,T7
2019,0.7428077,0.62627375,0.37372625,15.223322,5.7759075,0.9338821,Tebere,T6
2019,0.73757076,0.5723962,0.42760372,18.128284,6.878085,1.2154706,Tebere,T12
2019,0.7347477,0.5714618,0.42853823,16.672474,6.3257327,1.1250817,Tebere,T25
2019,0.7204398,0.6101938,0.38980624,13.453133,5.1042767,0.84117556,Tebere,T22
2019,0.7164963,0.6076376,0.3923624,15.057507,5.712995,0.9500235,Tebere,T19
2019,0.7469517,0.62142503,0.378575,17.950777,6.810735,1.1093683,Tebere,T15
2019,0.7318458,0.6288463,0.37115365,16.693802,6.3338246,1.0163248,Tebere,T20
2019,0.72676134,0.6124841,0.387516,17.066526,6.4752398,1.0680109,Tebere,T21
2019,0.7345373,0.6251982,0.37480184,17.778427,6.7453446,1.0902333,Tebere,T18
2019,0.71703225,0.5881001,0.4118999,16.880903,6.4048133,1.0973688,Tebere,T16
2019,0.73164296,0.61498874,0.38501126,17.944962,6.8085294,1.1173133,Tebere,T17
2019,0.7105366,0.5667463,0.4332537,17.949759,6.8103495,1.2152252,Tebere,T13
2019,0.75018317,0.5939108,0.40608916,18.751024,7.1143594,1.2103012,Tebere,T14
2019,0.73157597,0.6061645,0.39383548,18.848532,7.151354,1.1920961,Tebere,T5
2019,0.73567826,0.61649126,0.3835087,20.391047,7.7366023,1.2697552,Tebere,T2
2019,0.8042362,0.68363833,0.3163616,22.30823,8.4640045,1.3208466,Tebere,T3
2019,0.7857661,0.6234708,0.37652925,21.089388,8.001562,1.2998794,Tebere,T4
2019,0.7236741,0.6171058,0.38289425,14.943321,5.669671,0.9318551,Thiba,H8
2019,0.7214432,0.6207977,0.37920228,16.662582,6.321981,1.0275894,Thiba,H6
2019,0.72241443,0.6202765,0.37972343,15.877318,6.02404,0.9794746,Thiba,H7
2019,0.72472554,0.63441944,0.36558047,14.33038,5.4371147,0.8621579,Karaba,K7
2019,0.72111,0.6305219,0.3694782,14.102209,5.350544,0.85352904,Karaba,K6
2019,0.7349138,0.64842504,0.351575,13.540967,5.1376023,0.7981161,Karaba,K5
2019,0.73090386,0.64897853,0.35102144,14.419387,5.4708843,0.84854,Karaba,K4
2019,0.70638126,0.64308584,0.35691413,15.456257,5.8642855,0.9163043,Karaba,K8
2019,0.718771,,,15.658322,5.940952,0.9386142,Wamumu,W6
2019,0.75139076,0.6832504,0.31674954,14.15627,5.3710546,0.8021248,Karaba,K1
